,Komentar
918,"

Leres niku lur
"
919,"

Betul bos kabanyakkan pejabat pada perkaya diri sendiri
"
920,"

Kebijakan yg sangat luar biasa....masyarakat semakin rekoso...massyaAllah.
"
921,"

Ndak juga.. emang beli BBM tiap hari
"
922,"

Indonesia lebih baik dari negara 2 lain yang harganya tiga kali lipat, makanya kita bersyukur pada pemerintah
"
923,"

Maaf apakah anda menghitung incame negara"" tersebut 
Apakah incame pegawai di 2 negara tersebut sama dengan kita ??
"
924,"

Bersyukur matamu
"
925,"

 @Aku_ channel  sabar, kita mah cuma apa pak..
Mau naik atau turun tetap kita beli meskipun incame kita maaf ada yang pas pasan ada yng dibawah pas pasan..

Ya mau apa lagi kita sebai rakyat ...
"
926,"

Mohon maaf sebelumnya. Izin bertannya, Negara mana mas?
"
927,"

Saya rakyat kecil,, sangat setuju, BBM seharus ny di cabut subsidi ny,, karena rakyat kecel tidak mendapatkan hak , dengan subsidi, karena kami cuman bertani,, yg mendapatkan keuntungan dari subsidi hanya lh di kalangan mewah, Fortuner, Pajero , mobil pribadi lain nya,,, galon lansiran untuk tambang"" alat berat,,.  Terimakasih pemerintah,  berikan subsidi rakyat kecil lewat konsumsi lain, yg betul"" sampai ke rakyat miskin
"
928,"

Terimakasih bpk presiden, para Mentri dan para DPR yg katanya wakil rakyat.. makasih telah berhasil dan sukses untuk membuat rakyat kalian menjerit.. rakyat kecil mangkin kecil. Rakyat besar mangkin besar 
"
929,"

mas maaf tanyain sama yg milih Pak presiden gak tau menau yg tau yg milih kasian pak presiden
"
930,"

Moga kedepannya di berikan pemimpin yang lebih baik ,,
"
931,"

saya  rkyat kecil berusaha memahami semua kebijakan pmerintah untuk kelangsung kpentingan negara yng lbih besar ...dan hanya doa dan pengharapan kpd Sang Khalik agar NKRI  segera menuju masyrkt damai sejahtera   salam rahayu
"
932,"

Ngomong opo koe?
"
933,"

TOLONG KEPADA PIHAK PERTAMINA JUGA HARUS DAPAT MENCIPTAKAN PROGRAM/INSTURMEN TEPAT SASARAN SUBSIDI GUNA DAPAT LEBIH PRODUKTIF DAN DIRASAKAN OLEH KONSUMEN SECARA TEPAT DAN TRANSPARAN.
"
934,"

Ya itu yang kemaren diributin kan, mypertamina apps
"
935,"

Sebagai rakyat saya tetap mendukung kebijakan presiden demi keberlangsungan menjaga kestabilan pemerintahan dan rakyat.semoga Indonesia tetap tenang dan lebih memahami situasi dunia
"
936,"

MAFIA SOLAR TETAP JAYA...
"
937,"

Wonderful Indonesia Dengan Kearifan Lokal Yang Tiada Tara 
"
938,"

BLT DARI SELISIH KENAIKAN BBM. AKAL AKALAN PEMERINTAH. PEMERINTAH GAK KELUARIN UANG, UANG DARI RAKYATNYA
"
939,"

Alhamdulillah.. tambah pintar aja.. selamat bpk presiden dan jajaran menteri nya.. semoga saya dan keluarga mampu bertahan dan bersabar dari kemiskinan yang kita rasakan..
"
940,"

Kita sebagai rakyat indonesia tidak boleh mengeluh meski kita tahu berat diterima karna naik ny bbm
Semoga kita tetap giat optimis kerja
"
941,"

WALAUPUN INI TERPAKSA, DAN SUSAH BAGI KAMI, TAPI KAMI TETEP BERTERIMA KASIH PADA PAK DHE JOKOWI, KRN TUJUANNYA UTK MENYELAMATKAN NEGARA.
"
942,"

Jangan lupa bersyukur kita dapat merasakan nawacita yang diagung agungkan oleh pemerintah terkhusus  bapak presiden RI
"
943,"

Harus ada ketegasan dari Pemerintah,mobil2 mewah dilarang pakai Pertalite dan BioSolar..
"
944,"

Naikin lagi pak jadi 50rb/liter 
Gaji buruh turunkan jadi 500rb/bln
Biar makin maju negara ini...
"
945,"

indonesia punya ratusan sumur minyak, yg saya heran larinya kemana itu minyak
"
946,"

Saran saya pak presiden terhormat, tidak usahlah kami diberikan BLT, Krn percuma sj itu tidak akan mengurangi beban kami, klo bisa saran saya, tetap diadakan BBM bersubsidi untuk mereka yg naik kreta/motor, angkot, becak, truk pembawa sembako/ bahan makanan, pedagang bensin eceran,  tapi tidak diizinkan atw tidak diperbolehkan yg naik mobil2 pribadi menggunakan BBM bersubsidi ini,  jika ada nti SPBU menyalah gunakan peraturan ini , bisa ditindak tegas n dicabut izin SPBU tersebut, kiranya bapak President Jokowi bisa mempertimbangkan saran saya ini, biar smua rakyat kecil adil sejahtera, Amin 
"
947,"

Lakukan yg terbaik buat bangsa ini pak..
"
948,"

Alhamdulilah aku merasa bangga punya persiden seperti pak jokowi bisa mensejaktrakan tki cina dan bisa memiskinkan rahat indonesia cita2nya pak jokowi terkobul
"
949,"

kalau tidak mampu beli jangan beli ........solusi yang paling baik bagi negara dan rakyat  setuju!!!!!!, tidak usah saling menyalahkan ya!!!!!
"
950,"

Hiduplah indonesia raya....
Bukan bbm yg naik pak .... Tp sandang pangan yg pasti naik... Jd semua naik.. Alhamdulilah akhirnya derajat kita d naikkan dgn jalan pintas.
"
951,"

menengah ke atas tetap tenang, menengah ke bawah makin susah.  banyak menengah ke atas gak punya malu beli bbm subsidi, jadinya ya gini. menengah kebawah yg jadi korban.
semoga tetap sehat dan dimudahkan segala sesuatunya bagi kaum menengah kebawah.
"
952,"

Rakyat kecil MENANGIS Pa Jokowi, kami Tidak Bangga Dengan BLT atau  apapun itu, karna kebanyakan SALAH SASARAN, MOHON DI PERBAIKI JAJARAN BAPA DI TINGKAT DESA, TERUTAMA PARA RT DAN RW MENYALAH GUNAKAN BANTUAN DENGAN SALAH SASARAN
"
953,"

Org mlas pasti menangis mas
"
954,"

Bukan Masalah BBM Nya Mas, BBm sudah jelas TIDAK AKAN BISA turun lagi,  Tapi Bantuan nya yg Salah sasaran , banyak Oknum Jajaran Tingkat KELURAHAN RT DAN RW YANG MEMENTINGKAN ORANG2 TERDEKAT NYA SAJA
"
955,"

Jangan mengeluh semua sudah di atur sama allah .pasrah saja sama allah pasti allah akan mencukupi kita aamiin
"
956,"

Ngomong apa kamu pasrah ngarang
"
957,"

Klo gtu gk usah hidup aja lo sekalian
"
958,"

pasrah emang bisa kita kerja banting tulang gaji sdikit harga2 pasti naik tu..
"
959,"

Bener itu. BBM naik karna global akibat perang. Kita bersukur hidup di indonesia masih terjamin, di eropa udh krisis gila2an di sri langka udh hancur di asia bahkan ada 6 negara lagi yg bakal nyusul sri langka.
"
960,"

efek kenaikan harga BBM akan berpengaruh besar terhadap harga-harga yang lain pak presiden..
"
961,"

Semoga tuhan Yesus selalu memberkati pak Jokowi atas kenaikan BBM.
"
962,"

Wouu.
"
963,"

Terimakasih pak...usaha belum bisa recovery, bbm dinaikkan, seluruh bahan baku akan naik,...keputusan yg cerdas pak...rakyat gak usah dipikirkan..gak penting
"
964,"

Terima kasih jasamu yg telah menyengsarakan kami. Kami pasti akan selalu ingat kepada Anda bapa presiden
"
965,"

Terimakasih pak de kami sangat bangga dengan kebijakan mu
"
966,"

Kangen dulu setiap ada kenaikan BBM partai banteng selalu terdepan nangis2 di jalanan di tayangin di semua channel tv 
"
967,"

Dulu pdip gencar menolak kenaikan bbm skr diam seribu bahasa, awas 2024 pemilu
"
968,"

masalah nya harga bbm dunia ga jelas ,  bukan cuman indo doang yg susah . nanti kalo harga bbm dunia udh agak calm down pasti bakal di turunin juga
"
969,"

Kapok gak akan
"
970,"

samapai nangis nangis,  sekarang rakyat nya yang di salahin,
"
971,"

Sabar bentar lgi buk puan nangis tuh
"
972,"

Pak presiden rakyatmu memaklumi dan sudah tidak kaget karena sudah terbiasa menderita Mudah2an rakyatmu masih bisa hidup karena masih punya iman.
"
973,"

 cocok anda jadi pelawak beli hp bisa beli kota internet bisa beli motor bisa menderita nya di mana coba
"
974,"

ngelawak lo drun
"
975,"

org hidup kurng bersyukur km bro
pemerinth udah ngasih banyk bntuan  uang sembako kok msh kurang bersyukur 
aku liat tiap buln org2tua di desa2 dpt bntuan uang jg sembako kok km bilng msih menderita bro
"
976,"

 @blandar ruboh  ini buzzer nih,ckck,di bayar brpa lu sama istana
"
977,"

Banyak buzzer PDI emang bro
"
978,"

 @blandar ruboh  ..dron drun anda bipang ya..mikir pake otak bos..sebenarnya pemerintah ini rencananya apa kedepan untuk bangsa dan negara ini..apa yg mereka lakukan selama 8 thn menjabat..yg disalahin subsidi bbm..sedangkan indonesia salah satu negara penghasil minyak mentah kok bisa2nya krisis bbm..mang bener kata orang ..bila tidak mampu mundur bukan malah nyusahin dirinya sendiri..
"
979,"


"
980,"

Gmn gk menderita orang pemalas 
"
981,"

Punya HP Android, tapi menderita,... Gitu ya,...wkwkwk
"
982,"

 @Putra Cubung  ini lagi buzzer panik,siap2 di demo lu nyet !!!
"
983,"

 @sulastri sulastri  mending gk usah di kasih bantuan,di korupsi juga,yg dapat cuma saudara RT,Temen deket sama Keluarga,
"
984,"

 @ikram Cooll  
Kadrun Sesat, Penyembah Baliho siap2 Demo,... Ada Nasi Bungkus, dan Uang Transport,....wkwwkk
"
985,"

Buh komennya diserang buzzer haha
"
986,"

 @Mohamad Fajar  bener mas bro
"
987,"

Semoga elu kagak mati gara2 BBM naik.
"
988,"

Sindiran halus
"
989,"

Memang sdh terbiasa susah
"
990,"

kasian hidupnya menderita 
"
991,"

 @Mohamad Fajar  
Uda bg pokoknya Jokowi gak pernah salah Dimata pemujanya titik
"
992,"

 @Denny Arsyad  
Buh, Ada Kadrun Rp,...
"
993,"

Para buzzer udh mulai kerja nih... Siap2 bang lu d serang SMA buuzer bipang
"
994,"

 @ikram Cooll  Penghasil minyak mentah benar, tapi tetap megikuti harga minyak dunia. Timur tengah produksi minyak mentahnya lebih besar dibandingkan Indonesia. Subsidi BBM membebani APBD
"
995,"

 @Mohamad Fajar  ini K-DRUNK NIH,  ckckck di kasih nasi berapa bungkus lu sama bohir2   ?
"
996,"

 @Mohamad Fajar  kl kyk gitu yg slh bkn pk presidennya
"
997,"

 @Bani Akbar  dulu gw pendukung jokowiwi,tp setelah di prank terus gw pindah,amit2 dah si planga plongo
"
998,"

 @Mohamad Fajar  Gak ada yang nanya.... 
Info elu kagak penting buat gw  
"
999,"

 @Justin Rafael oxy  begitu juga pokoknya pak Jokowi selalu salah dimata pembencinya titik.
"
1000,"

 @Bani Akbar 
Gua bukan  pendukung Jokowi tapi gak benci beliau , tapi kalo apa apa naik terus kasihan juga sih mereka yg pendapatan nya kecil
"
1001,"

 @Justin Rafael oxy  asal elu tau yg makan subsidi BBM paling banyak itu,  orang2 mampu yg punya mobil pribadi. bukan orang yg tidak mampu 

Orang yg tidak mampu cuman kecipratan harga sembako yg kagak seberapa. Gw sih lebih baik subsidi BBM di kurangi, dan dialihkan untuk orang tidak mampu sebagai bantuan modal usaha mereka.
"
1002,"

 @Malaikat Subuh  ..terus harga jual minyak mentah ngikuti harga dunia..apa hubungannya dgn subsidi..kita punya bahan kita jual..kita beli yg udah jadi dimana salahnya ..timur tengah negaranya sebesar apa setengah  sumatra juga ga ada..ada yg salah dgn pengelolaan minyak dinegara ini..
"
1003,"

Semoga naikx bbm tidak makin menaikx darah masy krn kesulitan ketidakadilan kebobrokan hedon pejabat didepan mata rakyat, semoga pemerintah diberi kebaikan
"
1004,"

Salam 3 Periode, semoga pakdhe sehat terus, supaya bisa pindah ke IKN yg baru, aminn
"
1005,"

Seumur hidup sekalian brow,
"
1006,"

Trmksh pak Jokowi,,,,,

Telah menaikkan harga BBM,
Salam melaraT dari saya pegawai swasta,,,,
"
1007,"

Gara2 listrik naik bayar kosan ikut naik juga. bener2 hebat rakyat indonesia sudah makmur
"
1008,"

BBM naik
Cari dana tuk kampanye mereka di 2024
Jd slgi 2 tahun ini mreka sdang mencari uang trilyunan
"
1009,"

Kampanye siapa?
"
1010,"

Hebat BPK ini bikin ke bijakan yang bisa buat rakyat miskin makin menderita terimakasih pak 
"
1011,"

kami orang susah pak..bbm naik gmn kami bayar cicilan rumah dan mobil kami..sebelom naik kami sudah pas pasan..tolong pak...
"
1012,"

 @juzt kevino  klu paspasan jgn beli mobil
"
1013,"

 @Hendra Effendi  serius amat. Dia cuma bercanda ngab..
"
1014,"

 @juzt kevino  punya rumah dan mobil kelas menengah masih berkeluh-kesah kami tidak punya mobil tidak berkeluh-kesah. Hidup sederhana apa adanya saja, kemana-mana ada kendaraan umum yang sudah baik bukan era 70an gandol bus kota sampe keluar pintu.
"
1015,"

Alhamdulillah rezki menjelang 4bulan akhir tahun 2022..
dari rakyat untuk rakyat,sederhana,nkri harga mati.
(kangen orang2 yg demo dijaman sby sampai orasi nangis2 di siarin di tv nasional)

terimakasih para pejabat tinggi
"
1016,"

Mereka pikir bantuan blt sdh tepat sasaran... padahal knyataannya sangat jauh dari yg namanya tepat sasaran... byk masyarakat yg kurang mampu tdk mndapatkannya...
"
1017,"

Klo memang harus krn harga minyak dan gas dunia naik fantastis akibat perang Ukrania Vs Rusia, ya mau bagaimana lagi. Semoga segera turun kembali serta daya beli masyarakat tdk terganggu, usaha2 tetap berjalan normal
"
1018,"

Puan menangis melihat ini
"
1019,"

Pemerintah sangat tegas dialihkan ke bltpasti tepat sasaran dan gak ada yg berani korupsi karena koruptor di negri ini pasti dihukum MATI!!!
"
1020,"

Alhamdulillah BBM bersubsidi naik...moga 10 periode
"
1021,"

100 priode sekalian,wkwk
"
1022,"


"
1023,"

101 priode saya dukung bosssssss... mantap saya puas pemerintahan saat ini..
"
1024,"

Di indonesia sudah termasuk murah bgt drpd negara lain
"
1025,"

 @Sinyo7 77  negara mana?
"
1026,"

 @Sinyo7 77  
Daripada Malaysia???
Negara lain pendapatan perkapitanya berapa?
"
1027,"

 @Sinyo7 77  negara lain sesuai bro karna pemdapatanua pun besar. Pnengangguran saja di luar negri dapat gaji daripwmerintah.
"
1028,"

sayangnya cm naik jd 10rb...
seandainya bs naik jadi 18rb atau 20rb per liter, saya akan sangat senang sekali, karena bisa berkontribusi untuk memajukan pertamina dan perekonomian indonesia... bayangkan jika setiap rakyat indonesia tidak rewel thrd kenaikan harga, pasti saat ini indonesia sudah menjadi negara super power se bima sakti...
nkri harga mati...
saya pancasila!!!
"
1029,"

Seharusnya naikkan saja menjadi 50 ribu per liter biar Pertamina surplus sekalian, dan rakyat kecil dan menengah perlahan akan mati.
"
1030,"

Cabut semua subsidi2an, samakan harga2 seperti di negara maju. Jam kerja dan upah nya di samakan
"
1031,"

anggaran buat MRT, LRT, Busway, HSR, mobil listrik, bus listrik, motor listrik . yang punya kendaraan dan motor , beralihlah ke kendaraan listrik, jalan kaki dan naik angkutan publik
"
1032,"

Asli pinter banget pemerintah memilih waktu menaikan harga BBM.. jadi saya gak sempet ngisi full tank.
"
1033,"

Adu lihai
"
1034,"

Wkwkwk 
"
1035,"

biar gak panic buying
"
1036,"


"
1037,"


"
1038,"

Wkwkww
"
1039,"

Hahahaha
"
1040,"

Wkwk.
"
1041,"

Biar tidak ada penimbunan
"
1042,"

Selamat anda kena prank lagi 
"
1043,"

Sy sebagai pengendara motor yg setiap hari mengisi hanya 1 liter mungkin sy setiap hari diberikan subsidi atas pembelian saya 1 liter tapi lihat para pengendara mobil pribadi yg setiap hari mendapatkan subisidi lebih besar dari rakyat miskin... Apalagi yg tidak memiliki kendaraan mereka sama sekali tidak mendapatkan subsidi dari pemerintah keadilan harus benar benar ditegakan...... Jujur kalau masih harga BBM diberi subsidi sangat menyakitkan buat orang orang yg tidak memiliki kendaraan, yg memiliki kendaraan yg hanya mengisi setiap hari 1 liter mungkin subisidi 2 rb atau 3 ribu tapi yg memiliki mobil mereka mendapatkan keuntungan dari 10 liter yg tiap hari mereka isi.......... Berikan subsidi buat kami langsung jauh lebih menguntungkan buat kami
"
1044,"

SEMOGA PEMIMPIN YANG MEMPERSULIT RAKYAT, DILAKNAT OLEH YANG MAHA KUASA
"
1045,"

Aamiin.
"
1046,"

Aamiin
"
1047,"

aamiin
"
1048,"

Aamiin
"
1049,"

Aamiin
"
1050,"

Memang nya kamu dipersulit apa, klo orang beriman macam kamu itu sebaik baik penolongmu adalah Allah bukan bergantung kepada Presiden dan subsidi, kamu bisa beli mobil dan motor masak beli BBM tdk bisa atau mungkin kamu tidak punya mobil ataupun motor tidak perlu sewot soal naik turun nya BBM wong kamu tak butuh juga.
"
1051,"

Pemerintah baik dapt gaji dri negara sedangkan rakyat kecil kadang-kadang ada yg harus banting tulang kadang-kadang ada yg rela mencuri membegel demi cari hidup 
Hidup susah dibikin susah lagi
"
1052,"

Jadikan pertalite 15.000 sekalian Pak, ganti subsidi wujudkan biaya kesehatan/pengobatan dan sekolah sampai SMA gratis, untuk ekonomi menengah ke bawah.. gimana bos?? 
Kalau blt faktanya banyak yang meleset & mudah di korup. 
"
1053,"

subsidinya di pake dulu buat bangun IKN,
"
1054,"

Berapapun harganya semoga negeri ini tetap damai dan bertambah rezekinya rakyat sejahtera..
"
1055,"

Presiden kita lagi pidato menaikan bbm....kebijakan merakyat dan membebani rakyat kecil sedangkan apbn banyak di dikorupsi...jadi rakyat kena imbasnya...semoga masyarakat tabah dgn kebijakan pemimpin...
"
1056,"

Terlalu banyak yg tertipu dgn kelembutan dan pencitraan sekarang nilai sendiri....
Semoga semakin makmur rakyat Indonesia dgn kenaikan BBM....
Presiden terbaik
"
1057,"

Sebenarya BBM saja yg naik masih bisa maklum, yg jadi masalah harga lain2 ikut naik.  Pemerintah ada solusi tidak biar harga kebutuhan lain tidak ikut naik, misal subsidi BBM khusus kendaraan pengangkut logistics agar biaya pengiriman tidak naik agar harga barang Dan Jasa tidak naik juga. Mohon pemerintah cepat tanggap.
"
1058,"

Disyukuri saja, memang sdh saatnya pertamina tidak melakukan subsidi mengingat APBN yg tinggi, dan juga harga minyak dunia yg tinggi juga sehingga tidak ""worth it"" utk dibeli. ini indonesia baru naik hari ini, negara lain yakni malaysia, singapore, filipina udh naik dr lama......tetap disyukuri saja, bisa makan dan kerja saja sudah bersyukur sekali
"
1059,"

Alhamdulillah, Semoga Allah bales dng azab segera mungkin,  klw msh ada pejaba yg korupsi dan maling uang rakyat, yg sdh kita kasih sodaqoh nya ,ke mulut mulut mereka,. Aamiin
"
1060,"

Lanjutkan.. Kami sudah terbiyasa sengsara pak.. Biyarkan yang terbitasa enak biyar enak terus hidupnya.. Kami punya wakil rakyat meski tak mewakili keadaan rakyat..
"
1061,"

Assalamualaikum depok Hadri  semoga Allah selalu lindung orang baik amin.BLT hanya bikin ke gaduhan tetangga sebelah rumah ini dapat ini nggak dapat palgi saya dari ada BLT dari pemerintah pusat ngga dapet kasihan dah saya .pak apun pak Apun 
"
1062,"

Bagus solar jadi,10 ribu soalnya banyak pejabat yang memakai solar.
"
1063,"

Saya mendukung bapak presiden RI untuk menaikan ke tiang gantung bagi semua para pejabat koruptor dari tingkat Presidenya hingga pejabat bawahan lainya yang terlibat korupsi di negara RI  yang sama"" kita cintai ini...merdeka 🇮🇩
"
1064,"

Lah, ngurus kaisar sambo aja gak berani,  jgn minta lebih
"
1065,"

Lah ngurus korupsi sampai bersih itu adalah kehaluan yang diharapkan dari pemerintah ini.karena kalau pejabat gak korupsi ya modalnya gak balik ke kantong pribadi.yang betul itu harus ganti sistem,dan untuk ganti sistem gak ada harapan pada rezim ini
"
1066,"

Alhamdulillah semoga kebijakan yg di ambil pemerintah, ini bisa membantu / menolong APBN, tentunnya ini tidak mudah bgi pemerintah memutuskan kenaikan BBM tapi ini langkah terbaik demi menyelamatkan APBN ( Kelangsungan & kestabilan Negara ) untuk kesejahteraan masyarakat.
"
1067,"

Keputusan yang sangat bijak,terimakasih 🇮🇩🇮🇩
"
1068,"

Mampu beli mobil dan motor pastinya sudah bisa terima dong kenaikan BBM.
"
1069,"

Yg protes suruh isi minyak telon
"
1070,"

Kalau BBM naik, harga2 barang dan kebutuhan lainnya juga bakal naik krn pengiriman barang dan kebutuhan tsb memerlukan BBM. Jadi kl begitu masyarakat yg ga pny mobil dan motor pun hrs terima dan menanggung akibat kenaikan BBM
"
1071,"

Apalagi mobil mewah
"
1072,"

Ya intinya cuma , ada nggak rasa bersyukur, tolong menolog, dan kejujuran.wkwkwkwkwk
"
1073,"

selamat buat rakyat indonesia atas kebijakan pemerintah yang telah menaikkan harga BBM bersiaplah menghadapi harga lainnya akan ikut naik secara otomatis krn semuanya butuh BBM untuk semuanya 
"
1074,"

Saya berharap subsidi BBM dialihkan 100% ke sektor pendidikan dan kesehatan dari pada BLT. Ramai orang mampu mendapatkan BLT.
"
1075,"

setuju orang mampu, masih usia produktif anak2 kerja orang tua dikasi BLT, enaknya...
"
1076,"

saya berharap gaji dan tunjangan presiden, menteri, dpr, komisaris bumn, direksi bumn dan pejabat2 lainnya dipotong.
"
1077,"

Jiwa2 Orang MAMPU Dibalik Orang SUSAH Pasti TERIAK2...Bijaksanlah Menilai Sesuatu..Apapun Alasannya Pasti Ada Kebijakan Lebih Baik...
"
1078,"

terima kasih bapak ibu yg terhormat katanya... kalian sudah berhasil membuat hati rakya sakit..
"
1079,"

semangat 3 periode pak de , masih nggu tim yg nangis² wktu BBM naik 
"
1080,"

BBM  pertalite naik 10000 perliter akan di ikuti harga harga yg lain pengusaha akan lumpuh total sebelum naiknya BBM saja daya beli masarakat sudah turun drastis apa lagi sudah naik
"
1081,"

Sok tau luh
"
1082,"

Pemerintah tk peduli ke rakyat muskin, peduli nya ke pengusaha, rakyat dpt bantuan sosial itu pancingan sementara, tp nenderitanya 5thn, rakyat semang n tk percaya lg,
"
1083,"

Selamat kepada Bapak Presiden dan dkk sudah mensejahterakan Seluruh Rakyat dengan Menaikkan Harga BBM, harusnya jangan cuma 10ribu, tapi 50ribu per liter biar Rakyat Makin Sejahtera, Good Jobs
"
1084,"

Ok saya usul naikan 100rb per liter buat saya tak ngevek atau gak ngarooo sama sekali karena saya urep neng desoo bravo pak Jokowi 
"
1085,"

BERLAKU UNTUK GLOBAL BOSS...INDONESIA PALING TERAKHIR TERKENA DAMPAKNYA
"
1086,"

Wkwkw lucu sih beli kendaraan yang mahal bisa Blum di modifikasi lagi tambah mahal masak BBM naik saja complan  gini nih punya motor tapi tak punya kerja jadi susah beli BBM nya
"
1087,"

 @Tetaptegar 69 Tegar  gaji global kok beda dengan indonesia boss?
"
1088,"

Mantap bang ga ada yg demo ini sepi bangat ya,wkwk
"
1089,"

 @dedi riyan  haaalaaahhh loe nya aja yg kurang PICNIC...TURKEY,SRILANGKA DAN 60 NEGARA LAINNYA PADA KOLAB
"
1090,"

 @ANAK JAWA  iya bang...lucu..angkot saya aja saya modif habis 10 m
"
1091,"

Wkwkwkwk ngakak baca komen lu broo
"
1092,"

Berapapun NAIK nya harga BBM saya RELA,asal rezim jokowi TURUN !
"
1093,"

 @Tetaptegar 69 Tegar  iya maaf bg saya kurang piknik...saya tinggal di riau bg ga main di global...maklum orang kampung saya bg.......
"
1094,"

 @dedi riyan   ekonomi dunia sama boss dampak nya tapi gaji nya gak sama tergantung skil kemampuan nya di bidang kerjaan nya  kalau hnya gak kemampuan mau gaji 5 juta ada ya gak adaaaa
"
1095,"

 @ANAK JAWA  bukan masalh gtu bang,,masalahnya janji gak di tepati dulu waktu demokrat memimpin naik 500 ja mpe nangis nangis  PDI nya....
"
1096,"

Semoga Amal dan Ibadahmu di terima disisi Nya....
"
1097,"

Kurang bos....1 juta/liter aja,  jgn tanggung ...
"
1098,"

Lanjutkan pak presiden bagaimana enaknya  ada yg senang dapat BLT BBM naik. Dan ada juga gk senang BBM naik 
"
1099,"

 @Kus Nadi   ya sih ya kan namanya politik nangis demi di lihat orang jngn pilih keluarga banteng di 2024 nanti puan mahakarya nangis lagi
"
1100,"

 @Dina Mardana  mmngnya loe it cp..
"
1101,"

Kami dukung kenaikan harga BBM untuk kemajuan bangsa Indonesia yang tercinta....
Kesejahteraan bangsa adalah kesejahteraan kita bersama
Puji Tuhan....
"
1102,"

Selamat Kepada Kadrun,.. Job Demo akan segera Laris manis,...
Nasi Bungkus dan Uang Transport,..
"
1103,"

Sak karpmu bro
"
1104,"

 @ANAK JAWA  kalau skill sya di bidang supir angkot udah mamtep bener bg...berarti naikin serebu angkot saya boleh lah bang ya....
Tapi demi penumpang saya yg tercinta ..anak sekolah  walaupun bbm untuk angkot saya naik ...harga ongkos angkot saya saya subsidi...
"
1105,"

Kawal terus sampai BBM naik 1juta perliter saya mampu beli , bismilllah menteri bumn
"
1106,"

 @fatkhul hidayat  dia langganan angkot saya bg...maafin dia
"
1107,"

 @dedi riyan  
Uda dibilang Jokowi gak pernah salah Dimata pemujanya , 1 juta perliter pun gpp
"
1108,"

 @dedi riyan  ya intinya kalau sprti anda harga BBM naik tarif angkot di naik kan juga biar seimbang pengeluaran dan pendapatan nya bro
"
1109,"

 @dedi riyan  sama saja bro kalau kita UMKM barang sembako naik kita suplai dari mana ya kita naikkan juga harga nya biar gak rugi² amat yg komen di atas️ Mngkin gak punya pendataan tetap makanya kesal BBM naik
"
1110,"

 @rahmad darmawan  
Ngapain demo cuma naik 10rb naik 100ribu pun gpp
"
1111,"


"
1112,"

Lebih baik hapuskan subsidi. Tetapi pajak kendaraan bermotor di hapus kan pak. Berikan pajaknya kepada orang mampu sj.
"
1113,"

Ini permasalahan udh dari jaman pak Harto.. rakyat udh terbiasa dibantu dengan subsidi BBM yang habis terbakar di jalan.. dimana subsidi ini sangat memberatkan kas negara.. sehingga ekspansi jadi melambat..
"
1114,"

Selalu mendukung kebijakan pemerintah selama dampak yg ditimbulkan bisa diantisipasi terkait kenaikan bahan pokok dll, dan subsidi silang yg dialihkan bisa tepat sasaran sehingga tdk menimbukan masalah baru bagi masyarakat. Semogaa. Amiiin.
"
1115,"

Bangun ngab, dah nyampe wakanda land...
"
1116,"

Sdh pasti naik akibat ulah pnjajah
"
1117,"

pasti  inflasi sdh terjadi lg.
bersikan terus seluruh instasi2 pemerintah dr korupsi2 dan serta berantas
mentalitas jiwa memperkaya diri pejabat2 dan golongan2.tegakan supermasi hukum tajam keatas juga kebawah tanpa pilih bulu ras agama dll.
"
1118,"

Saya bukan orang yang berpenghasilan tinggi, Tapi saya tetap se7 pengurangan subsidi BBM demi kelangsungan kehidupan bangsa Indonesia. 
Kita harus bersyukur negara kita tidak kolap spt negara2 lain. Mari kita dukung kebijakan pemerintah yg cukup berat ini. 
Semoga Indonesia tetap jaya.
"
1119,"

Bersyukur bisa punya Ibu Kota Baru. Semangat, IKN pasti bisa!!
"
1120,"

Salam 2 periode 
"
1121,"

Terima kasih pak. Kami anggap ini kado HUT RI yg ke 77.. semoga bapak dan seluruh jajaran tambah makmur..
"
1122,"

jangan menyindir terus , mau negara bangkrut kaya srilanka ?
"
1123,"

Yang jelas petugas harus jujur jangan sampai Petugas yang bagi makin makin makmur yang menerima tetap miskin   selama nya 
"
1124,"

Ayooo tingkatkan amal shodaqoh kepada org yg kurang mampu. Jgn takut kawan, rejeki sudah ada yg atur. Tetap berdoa memohon kebahagiaan dunia dan akhirat. Kun Faya Kun. Kaya.. Kaya. Kaya..
"
1125,"

boleh dan setuju bbm naik. tapi kesejateraan rakyat juga harus di utamakan, seimbangkan pendapatan dan pengeluaran masyarakat sekaligus pangkas anggaran di DPR biar mengurangi niat orang menjadi DPR
"
1126,"

kalau harga pangan naik, petani dam nelayan semangat kerjanya dan banyak millenial mau jadi petani/nelayan modern yang paham e commerce
"
1127,"

Inflasi
"
1128,"

Alhamdulilahhh naik....mudah2an kita semua bisa makin kaya
"
1129,"

Aminnn...
"
1130,"

Amin...
"
1131,"

Amin
"
1132,"

Pak Ahok - Pak Luhut for  🇮🇩 Best future
"
1133,"

Amin
"
1134,"

Luar biasaaaa
.sungguh tidak ada opsi lain kah,selain menaikkan harga.
Merakyat sekali pak presiden semoga kita bisa hidup dengan berkecukupan
"
1135,"

Contoh opsi lain ap?? Yg baik, cepat dan tentunya strategis...
"
1136,"

masa saya yang harus berpikir
"
